Date,Rainfall(mm)
2007-10-01,357.2
2007-11-01,87.4
2007-12-01,11.9
2008-01-01,0.8
2008-02-01,30.3
2008-03-01,217.2
2008-04-01,108.4
2008-05-01,81.2
2008-06-01,469.9
2008-07-01,505.1
2008-08-01,349
2008-09-01,347
2008-10-01,343.4
2008-11-01,55.4
2008-12-01,17
2009-01-01,3.3
2009-02-01,1.5
2009-03-01,62.6
2009-04-01,69
2009-05-01,191.6
2009-06-01,438.2
2009-07-01,924.9
2009-08-01,269.3
2009-09-01,326.5
2009-10-01,205.2
2009-11-01,274.4
2009-12-01,44.2
2010-01-01,18.6
2010-02-01,1
2010-03-01,31.4
2010-04-01,138.9
2010-05-01,190.6
2010-06-01,667.5
2010-07-01,629
2010-08-01,356
2010-09-01,275.6
2010-10-01,441.4
2010-11-01,335.1
2010-12-01,46.8
2011-01-01,20.5
2011-02-01,45.7
2011-03-01,24.1
2011-04-01,165.2
2011-05-01,124.2
2011-06-01,788.5
2011-07-01,536.8
2011-08-01,492.7
2011-09-01,391.2
2011-10-01,227.2
2011-11-01,169.7
2011-12-01,49.5
2012-01-01,7.4
2012-02-01,11
2012-03-01,21
2012-04-01,171.1
2012-05-01,95.3
2012-06-01,430.3
2012-07-01,362.6
2012-08-01,501.6
2012-09-01,241.1
2012-10-01,187.5
2012-11-01,112.9
2012-12-01,9.4
2013-01-01,3.9
2013-02-01,40.1
2013-03-01,49.9
2013-04-01,49.3
2013-05-01,119.3
2013-06-01,1042.7
2013-07-01,830.2
2013-08-01,369.7
2013-09-01,318.6
2013-10-01,259.9
2013-11-01,154.9
2013-12-01,17
2014-01-01,4.6
2014-02-01,10.3
2014-03-01,17.9
2014-04-01,95.7
2014-05-01,251
2014-06-01,454.4
2014-07-01,677.8
2014-08-01,733.9
2014-09-01,298.8
2014-10-01,355.5
2014-11-01,99.5
2014-12-01,47.2
2015-01-01,3.1
2015-02-01,5.8
2015-03-01,50.1
2015-04-01,214.1
2015-05-01,201.8
2015-06-01,563.6
2015-07-01,406
2015-08-01,252.2
2015-09-01,292.9
2015-10-01,308.1
2015-11-01,223.6
2015-12-01,79.4
2016-01-01,2.4
2016-02-01,3.8
2016-03-01,35.9
2016-04-01,143
2016-05-01,186.4
2016-06-01,522.2
2016-07-01,412.3
2016-08-01,325.5
2016-09-01,173.2
2016-10-01,225.9
2016-11-01,125.4
2016-12-01,23.6
2017-01-01,1.9
2017-02-01,6.8
2017-03-01,8.9
2017-04-01,43.6
2017-05-01,173.5
2017-06-01,498.5
2017-07-01,319.6
2017-08-01,531.8
2017-09-01,209.5
2017-10-01,192.4
2017-11-01,92.5
2017-12-01,38.1
2018-01-01,29.1
2018-02-01,52.1
2018-03-01,48.6
2018-04-01,116.4
2018-05-01,183.8
2018-06-01,625.4
2018-07-01,1048.5
2018-08-01,1398.9
2018-09-01,423.6
2018-10-01,356.1
2018-11-01,125.4
2018-12-01,65.1
