Date,Rainfall(mm)
1925-09-01,158.8
1925-10-01,295.4
1925-11-01,223.7
1925-12-01,98.8
1926-01-01,28.6
1926-02-01,5.8
1926-03-01,23.1
1926-04-01,55.8
1926-05-01,222.6
1926-06-01,563.9
1926-07-01,885.2
1926-08-01,536
1926-09-01,322.7
1926-10-01,216.7
1926-11-01,88.8
1926-12-01,16.2
1927-01-01,18.8
1927-02-01,35.3
1927-03-01,49.6
1927-04-01,86.5
1927-05-01,265.4
1927-06-01,720.2
1927-07-01,888.2
1927-08-01,315
1927-09-01,335.6
1927-10-01,135.8
1927-11-01,137.6
1927-12-01,6.8
1928-01-01,12.7
1928-02-01,65.9
1928-03-01,51.3
1928-04-01,121.1
1928-05-01,81.9
1928-06-01,590.7
1928-07-01,420.6
1928-08-01,553.2
1928-09-01,75.9
1928-10-01,321.5
1928-11-01,155.2
1928-12-01,52.7
1929-01-01,12.8
1929-02-01,29.8
1929-03-01,58.9
1929-04-01,210.7
1929-05-01,148
1929-06-01,946.6
1929-07-01,844
1929-08-01,293.9
1929-09-01,268.9
1929-10-01,350.4
1929-11-01,158.2
1929-12-01,39.4
1930-01-01,10.8
1930-02-01,10.8
1930-03-01,39
1930-04-01,102.7
1930-05-01,404.9
1930-06-01,633.1
1930-07-01,401.7
1930-08-01,273.4
1930-09-01,411.5
1930-10-01,433.9
1930-11-01,207
1930-12-01,89.2
1931-01-01,3.3
1931-02-01,0.3
1931-03-01,19.2
1931-04-01,126.9
1931-05-01,131.7
1931-06-01,541.7
1931-07-01,653.9
1931-08-01,1199.2
1931-09-01,163.2
1931-10-01,149.3
1931-11-01,164.3
1931-12-01,106.5
1932-01-01,0.1
1932-02-01,19.3
1932-03-01,28.6
1932-04-01,113
1932-05-01,646.5
1932-06-01,341
1932-07-01,716.4
1932-08-01,423.2
1932-09-01,317.3
1932-10-01,543.2
1932-11-01,223.2
1932-12-01,31.3
1933-01-01,1
1933-02-01,9.3
1933-03-01,36.9
1933-04-01,139.5
1933-05-01,738.8
1933-06-01,859.3
1933-07-01,773.4
1933-08-01,479.5
1933-09-01,469.7
1933-10-01,397
1933-11-01,126.1
1933-12-01,42.3
1934-01-01,74.5
1934-02-01,1.7
1934-03-01,47.7
1934-04-01,92.4
1934-05-01,106.7
1934-06-01,852.9
1934-07-01,415
1934-08-01,337.2
1934-09-01,48.4
1934-10-01,335.9
1934-11-01,93.4
1934-12-01,4.9
1935-01-01,23.9
1935-02-01,8.3
1935-03-01,18.1
1935-04-01,120.7
1935-05-01,56.6
1935-06-01,431.3
1935-07-01,687.3
1935-08-01,280.9
1935-09-01,283.3
1935-10-01,403.8
1935-11-01,153
1935-12-01,30.9
1936-01-01,1.2
1936-02-01,16.5
1936-03-01,116
1936-04-01,34
1936-05-01,466.5
1936-06-01,620.8
1936-07-01,672.1
1936-08-01,367.9
1936-09-01,286.7
1936-10-01,231.7
1936-11-01,211.1
1936-12-01,18.6
1937-01-01,6.5
1937-02-01,21.2
1937-03-01,58.7
1937-04-01,175.5
1937-05-01,137.1
1937-06-01,485.6
1937-07-01,970.5
1937-08-01,281.2
1937-09-01,139.8
1937-10-01,401.9
1937-11-01,121
1937-12-01,19.1
1938-01-01,0.3
1938-02-01,79
1938-03-01,53.3
1938-04-01,164.5
1938-05-01,179.6
1938-06-01,681.6
1938-07-01,648.6
1938-08-01,287.9
1938-09-01,223.2
1938-10-01,223.7
1938-11-01,69.5
1938-12-01,22.9
1939-01-01,13.6
1939-02-01,3.6
1939-03-01,24.9
1939-04-01,172.8
1939-05-01,105.1
1939-06-01,625.8
1939-07-01,749.6
1939-08-01,459.9
1939-09-01,134.1
1939-10-01,339.8
1939-11-01,298.1
1939-12-01,10.2
1940-01-01,0.6
1940-02-01,1.5
1940-03-01,3.8
1940-04-01,126.5
1940-05-01,217.4
1940-06-01,606.4
1940-07-01,877.3
1940-08-01,610.8
1940-09-01,68.2
1940-10-01,257.7
1940-11-01,287.5
1940-12-01,60.1
1941-01-01,15.9
1941-02-01,4.6
1941-03-01,12.7
1941-04-01,101.9
1941-05-01,417.5
1941-06-01,797.6
1941-07-01,517.9
1941-08-01,458.5
1941-09-01,257.9
1941-10-01,221.6
1941-11-01,220.5
1941-12-01,84.6
1942-01-01,2.4
1942-02-01,4.7
1942-03-01,23.2
1942-04-01,180.3
1942-05-01,191.9
1942-06-01,813.6
1942-07-01,828.8
1942-08-01,329.3
1942-09-01,99.8
1942-10-01,374.4
1942-11-01,84.7
1942-12-01,117.9
1943-01-01,83.5
1943-02-01,14.6
1943-03-01,38.4
1943-04-01,107.5
1943-05-01,478.4
1943-06-01,794.5
1943-07-01,831.6
1943-08-01,183.3
1943-09-01,257.6
1943-10-01,427.2
1943-11-01,223.4
1943-12-01,24.3
1944-01-01,6.4
1944-02-01,26.6
1944-03-01,61.6
1944-04-01,61.6
1944-05-01,212.7
1944-06-01,498.9
1944-07-01,614.1
1944-08-01,230.7
1944-09-01,155
1944-10-01,289
1944-11-01,244.1
1944-12-01,89.2
1945-01-01,4.4
1945-02-01,9.9
1945-03-01,12.7
1945-04-01,104.1
1945-05-01,53.4
1945-06-01,549.8
1945-07-01,704
1945-08-01,351.8
1945-09-01,110.9
1945-10-01,253.8
1945-11-01,259.5
1945-12-01,18
1946-01-01,1.8
1946-02-01,5.4
1946-03-01,108.4
1946-04-01,139.8
1946-05-01,83
1946-06-01,919
1946-07-01,671.7
1946-08-01,695.6
1946-09-01,199.4
1946-10-01,266.1
1946-11-01,273
1946-12-01,202.3
1947-01-01,22.2
1947-02-01,27.3
1947-03-01,98
1947-04-01,142.2
1947-05-01,85.7
1947-06-01,556.1
1947-07-01,669.3
1947-08-01,739.6
1947-09-01,394.5
1947-10-01,183.7
1947-11-01,32.4
1947-12-01,47
1948-01-01,43
1948-02-01,8.3
1948-03-01,48.2
1948-04-01,125
1948-05-01,212.3
1948-06-01,910.2
1948-07-01,619
1948-08-01,487.9
1948-09-01,166.6
1948-10-01,183.9
1948-11-01,215.6
1948-12-01,19.2
1949-01-01,0.6
1949-02-01,1.8
1949-03-01,4.5
1949-04-01,98.1
1949-05-01,440
1949-06-01,536.3
1949-07-01,758.7
1949-08-01,445.2
1949-09-01,354.5
1949-10-01,229.1
1949-11-01,71.9
1949-12-01,1.8
1950-01-01,0.1
1950-02-01,53.7
1950-03-01,31.1
1950-04-01,68.5
1950-05-01,242
1950-06-01,638.3
1950-07-01,905.7
1950-08-01,387.3
1950-09-01,411.6
1950-10-01,250.4
1950-11-01,149.2
1950-12-01,8.8
1951-01-01,6.6
1951-02-01,6.5
1951-03-01,41.6
1951-04-01,175.9
1951-05-01,148.5
1951-06-01,774.1
1951-07-01,544.6
1951-08-01,190.6
1951-09-01,313.8
1951-10-01,250.6
1951-11-01,229.6
1951-12-01,23.2
1952-01-01,5.2
1952-02-01,48.2
1952-03-01,20.8
1952-04-01,112.2
1952-05-01,214.6
1952-06-01,576.7
1952-07-01,430
1952-08-01,413.6
1952-09-01,57.4
1952-10-01,339.6
1952-11-01,49.6
1952-12-01,66.9
1953-01-01,13.1
1953-02-01,22.6
1953-03-01,18.5
1953-04-01,132.4
1953-05-01,55.4
1953-06-01,340.5
1953-07-01,1027.6
1953-08-01,356.4
1953-09-01,100.5
1953-10-01,410.5
1953-11-01,62.2
1953-12-01,5.1
1954-01-01,23.5
1954-02-01,2.8
1954-03-01,90.6
1954-04-01,136.9
1954-05-01,179.5
1954-06-01,798.3
1954-07-01,640.5
1954-08-01,467
1954-09-01,201.6
1954-10-01,303.1
1954-11-01,31.6
1954-12-01,62.5
1955-01-01,4.2
1955-02-01,6.3
1955-03-01,28.2
1955-04-01,125.9
1955-05-01,544.2
1955-06-01,782.4
1955-07-01,392.8
1955-08-01,236
1955-09-01,438.5
1955-10-01,378.2
1955-11-01,178.1
1955-12-01,19.8
1956-01-01,7.9
1956-02-01,11.7
1956-03-01,15.1
1956-04-01,151.6
1956-05-01,351.3
1956-06-01,755.4
1956-07-01,466.8
1956-08-01,319.5
1956-09-01,178.4
1956-10-01,353.3
1956-11-01,178.2
1956-12-01,9.1
1957-01-01,1.2
1957-02-01,16
1957-03-01,25.7
1957-04-01,70.2
1957-05-01,381.2
1957-06-01,872
1957-07-01,835.3
1957-08-01,358.8
1957-09-01,41.3
1957-10-01,280.1
1957-11-01,192.5
1957-12-01,28.9
1958-01-01,4.4
1958-02-01,19.3
1958-03-01,57.3
1958-04-01,135.1
1958-05-01,353.5
1958-06-01,713.3
1958-07-01,622.7
1958-08-01,526.6
1958-09-01,86.1
1958-10-01,191
1958-11-01,206.1
1958-12-01,7.7
1959-01-01,3
1959-02-01,21.4
1959-03-01,6.3
1959-04-01,150.7
1959-05-01,347.2
1959-06-01,872.8
1959-07-01,1155.7
1959-08-01,397.3
1959-09-01,405.5
1959-10-01,200.4
1959-11-01,151.9
1959-12-01,34
1960-01-01,9.4
1960-02-01,8.4
1960-03-01,44.4
1960-04-01,206.6
1960-05-01,540
1960-06-01,480.3
1960-07-01,750.9
1960-08-01,336.8
1960-09-01,371.2
1960-10-01,255.9
1960-11-01,358
1960-12-01,23.7
1961-01-01,13.7
1961-02-01,31.3
1961-03-01,11.4
1961-04-01,94.1
1961-05-01,500.5
1961-06-01,1005.2
1961-07-01,1146.5
1961-08-01,678.3
1961-09-01,399.3
1961-10-01,274.2
1961-11-01,85.9
1961-12-01,17.5
1962-01-01,28.4
1962-02-01,54.7
1962-03-01,39.6
1962-04-01,95.1
1962-05-01,472.4
1962-06-01,244.9
1962-07-01,951.1
1962-08-01,510.7
1962-09-01,394.9
1962-10-01,475.6
1962-11-01,31.5
1962-12-01,76.9
1963-01-01,30.2
1963-02-01,24.8
1963-03-01,69.8
1963-04-01,96.3
1963-05-01,157.1
1963-06-01,393.3
1963-07-01,720.2
1963-08-01,511
1963-09-01,223.9
1963-10-01,282.6
1963-11-01,93.4
1963-12-01,48.4
1964-01-01,1.1
1964-02-01,7.8
1964-03-01,67.2
1964-04-01,83.3
1964-05-01,94.8
1964-06-01,379.4
1964-07-01,754.2
1964-08-01,548
1964-09-01,398.2
1964-10-01,325.7
1964-11-01,191.7
1964-12-01,17.8
1965-01-01,9.1
1965-02-01,0.9
1965-03-01,28.3
1965-04-01,109.8
1965-05-01,214.5
1965-06-01,597.7
1965-07-01,465.1
1965-08-01,296.1
1965-09-01,150.1
